Scenario, perm_x_aq, perm_y_aq, perm_x_cap, perm_y_cap, depth, aq_thickness, injected_fluid_mass, injected_temp, inject_time, store_time, produce_time, rest_time, T_ambient, P_ambient, enthalpy_i, enthalpy_a, RE1, RE2, RE3, RE4, RE5
8hr_1000m_disp0m_0017,1.00E-13,1.00E-13,1.00E-16,1.00E-17,1000,40,1000000,200,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,855950.7921,178103.3142,0.839552077,0.882172877,0.900916945,0.912837987,0.920641458
8hr_1000m_disp0m_0018,1.00E-13,1.00E-13,1.00E-16,1.00E-17,1000,40,1000000,250,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,1085720.132,178103.3142,0.835448483,0.879117611,0.898982692,0.910920447,0.919024723
8hr_1000m_disp0m_0021,1.00E-13,1.00E-13,1.00E-16,1.00E-17,1000,60,1000000,150,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,638292.9307,179020.3578,0.827908661,0.873129145,0.893079514,0.905451132,0.914328982
8hr_1000m_disp0m_0022,1.00E-13,1.00E-13,1.00E-16,1.00E-17,1000,60,1000000,200,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,855993.0755,179020.3578,0.82750179,0.872133596,0.893250433,0.905279614,0.913685067
8hr_1000m_disp0m_0023,1.00E-13,1.00E-13,1.00E-16,1.00E-17,1000,60,1000000,250,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,1085724.036,179020.3578,0.823339556,0.869391788,0.890588935,0.90408258,0.912540363
8hr_1000m_disp0m_0067,1.00E-13,2.00E-14,1.00E-16,1.00E-17,1000,40,1000000,200,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,855950.7921,178103.3142,0.839522845,0.881831884,0.900848653,0.912772537,0.920858413
8hr_1000m_disp0m_0068,1.00E-13,2.00E-14,1.00E-16,1.00E-17,1000,40,1000000,250,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,1085720.132,178103.3142,0.835489011,0.879194056,0.899129763,0.91080844,0.918582042
8hr_1000m_disp0m_0071,1.00E-13,2.00E-14,1.00E-16,1.00E-17,1000,60,1000000,150,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,638292.9307,179020.3578,0.828002368,0.872985354,0.893084376,0.905516728,0.913912405
8hr_1000m_disp0m_0072,1.00E-13,2.00E-14,1.00E-16,1.00E-17,1000,60,1000000,200,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,855993.0755,179020.3578,0.827311499,0.872561307,0.89312479,0.905182044,0.914044472
8hr_1000m_disp0m_0073,1.00E-13,2.00E-14,1.00E-16,1.00E-17,1000,60,1000000,250,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,1085724.036,179020.3578,0.82335195,0.869336139,0.890907911,0.903482856,0.912539522
8hr_1000m_disp0m_0117,1.00E-13,1.00E-14,1.00E-16,1.00E-17,1000,40,1000000,200,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,855950.7921,178103.3142,0.83951685,0.881798944,0.900705433,0.912714511,0.920570093
8hr_1000m_disp0m_0118,1.00E-13,1.00E-14,1.00E-16,1.00E-17,1000,40,1000000,250,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,1085720.132,178103.3142,0.835479773,0.879030379,0.89862255,0.910771094,0.918592273
8hr_1000m_disp0m_0121,1.00E-13,1.00E-14,1.00E-16,1.00E-17,1000,60,1000000,150,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,638292.9307,179020.3578,0.827982776,0.872975692,0.893464558,0.905609695,0.914107312
8hr_1000m_disp0m_0122,1.00E-13,1.00E-14,1.00E-16,1.00E-17,1000,60,1000000,200,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,855993.0755,179020.3578,0.827293407,0.872080045,0.892839702,0.905179247,0.914028399
8hr_1000m_disp0m_0123,1.00E-13,1.00E-14,1.00E-16,1.00E-17,1000,60,1000000,250,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,1085724.036,179020.3578,0.823340878,0.869285736,0.890517018,0.903680682,0.912372191
8hr_1000m_disp0m_0167,1.00E-13,2.00E-15,1.00E-16,1.00E-17,1000,40,1000000,200,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,855950.7921,178103.3142,0.839327893,0.881871146,0.901158882,0.912626577,0.920351592
8hr_1000m_disp0m_0168,1.00E-13,2.00E-15,1.00E-16,1.00E-17,1000,40,1000000,250,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,1085720.132,178103.3142,0.8358412,0.878853213,0.898794271,0.91044825,0.918680042
8hr_1000m_disp0m_0171,1.00E-13,2.00E-15,1.00E-16,1.00E-17,1000,60,1000000,150,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,638292.9307,179020.3578,0.827970066,0.872944218,0.893240755,0.90544691,0.913997799
8hr_1000m_disp0m_0172,1.00E-13,2.00E-15,1.00E-16,1.00E-17,1000,60,1000000,200,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,855993.0755,179020.3578,0.827229791,0.872109516,0.89266396,0.905265432,0.913504739
8hr_1000m_disp0m_0173,1.00E-13,2.00E-15,1.00E-16,1.00E-17,1000,60,1000000,250,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,1085724.036,179020.3578,0.82333539,0.869285059,0.89048287,0.903649252,0.912343885
8hr_1000m_disp0m_0217,1.00E-13,1.00E-15,1.00E-16,1.00E-17,1000,40,1000000,200,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,855950.7921,178103.3142,0.839253518,0.881817265,0.901067141,0.912402203,0.920324624
8hr_1000m_disp0m_0218,1.00E-13,1.00E-15,1.00E-16,1.00E-17,1000,40,1000000,250,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,1085720.132,178103.3142,0.83547083,0.878835112,0.898849687,0.910607602,0.9185173
8hr_1000m_disp0m_0221,1.00E-13,1.00E-15,1.00E-16,1.00E-17,1000,60,1000000,150,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,638292.9307,179020.3578,0.827806614,0.873024353,0.892976203,0.905512759,0.913728232
8hr_1000m_disp0m_0222,1.00E-13,1.00E-15,1.00E-16,1.00E-17,1000,60,1000000,200,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,855993.0755,179020.3578,0.827234744,0.871916257,0.893184206,0.904993827,0.913619914
8hr_1000m_disp0m_0223,1.00E-13,1.00E-15,1.00E-16,1.00E-17,1000,60,1000000,250,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,1085724.036,179020.3578,0.823342348,0.869285118,0.890480623,0.90347433,0.912523439
8hr_1000m_disp0m_0251,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,5,1000000,150,0.3333,0.1667,0.3333,0.1667,40.05,9905021.425,638123.8574,176498.2761,0.85097634,0.890720261,0.909454854,0.919171664,0.926248322
8hr_1000m_disp0m_0252,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,5,1000000,200,0.3333,0.1667,0.3333,0.1667,40.05,9905021.425,855876.8714,176498.2761,0.842139558,0.887731574,0.906941343,0.916314731,0.924395463
8hr_1000m_disp0m_0253,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,5,1000000,250,0.3333,0.1667,0.3333,0.1667,40.05,9905021.425,1085713.541,176498.2761,0.830948813,0.882916754,0.902996859,0.913524493,0.921063859
8hr_1000m_disp0m_0255,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,10,1000000,90,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,384604.8204,176727.5838,0.864240137,0.900981238,0.916698882,0.92634042,0.933340028
8hr_1000m_disp0m_0256,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,10,1000000,150,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,638139.2243,176727.5838,0.863185891,0.901387595,0.917240455,0.927135105,0.933982423
8hr_1000m_disp0m_0257,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,10,1000000,200,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,855887.4256,176727.5838,0.860417506,0.899067875,0.915057651,0.925399831,0.932302729
8hr_1000m_disp0m_0258,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,10,1000000,250,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,1085714.463,176727.5838,0.853676672,0.895078608,0.912286086,0.921108324,0.928260971
8hr_1000m_disp0m_0259,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,10,1000000,300,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,1343177.295,176727.5838,0.841891853,0.885904951,0.902642882,0.912609926,0.918336506
8hr_1000m_disp0m_0260,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,20,1000000,90,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,384642.7346,177186.1827,0.862447479,0.900002561,0.916576645,0.926567135,0.933537275
8hr_1000m_disp0m_0261,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,20,1000000,150,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,638169.9601,177186.1827,0.861390498,0.899588343,0.916502071,0.927041782,0.933968611
8hr_1000m_disp0m_0262,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,20,1000000,200,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,855908.54,177186.1827,0.858815703,0.8970722,0.914366235,0.924458894,0.931349258
8hr_1000m_disp0m_0263,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,20,1000000,250,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,1085716.328,177186.1827,0.852841561,0.893018906,0.909838136,0.919706034,0.925877209
8hr_1000m_disp0m_0264,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,20,1000000,300,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,1343121.316,177186.1827,0.842889834,0.883034169,0.899395133,0.908403803,0.913796249
8hr_1000m_disp0m_0265,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,40,1000000,90,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,384718.564,178103.3142,0.849943831,0.890067807,0.908804839,0.920099131,0.92747236
8hr_1000m_disp0m_0266,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,40,1000000,150,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,638231.44,178103.3142,0.847938659,0.889632914,0.908389058,0.919576947,0.927031378
8hr_1000m_disp0m_0267,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,40,1000000,200,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,855950.7921,178103.3142,0.845102678,0.887837221,0.906301007,0.91735338,0.924932705
8hr_1000m_disp0m_0268,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,40,1000000,250,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,1085720.132,178103.3142,0.840364841,0.882917715,0.901726228,0.912750611,0.919946936
8hr_1000m_disp0m_0269,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,40,1000000,300,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,1343009.791,178103.3142,0.831061097,0.87368369,0.892235231,0.902672946,0.909385664
8hr_1000m_disp0m_0270,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,60,1000000,90,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,384794.3948,179020.3578,0.835209484,0.879478601,0.899411912,0.911360312,0.91952226
8hr_1000m_disp0m_0271,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,60,1000000,150,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,638292.9307,179020.3578,0.833922882,0.87853681,0.898499346,0.91055757,0.918788994
8hr_1000m_disp0m_0272,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,60,1000000,200,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,855993.0755,179020.3578,0.831410017,0.876480234,0.896454336,0.908702797,0.917229254
8hr_1000m_disp0m_0273,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,60,1000000,250,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,1085724.036,179020.3578,0.827128447,0.872118565,0.892693209,0.90491942,0.913023139
8hr_1000m_disp0m_0274,1.00E-12,1.00E-12,1.00E-16,1.00E-17,1000,60,1000000,300,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,1342898.838,179020.3578,0.817958489,0.863792884,0.884327497,0.896205756,0.904086186
8hr_1000m_disp0m_0301,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,5,1000000,150,0.3333,0.1667,0.3333,0.1667,40.05,9905021.425,638123.8574,176498.2761,0.849934976,0.892338759,0.908348931,0.917533407,0.924407784
8hr_1000m_disp0m_0302,1.00E-12,2.00E-13,1.00E-16,1.00E-17,1000,5,1000000,200,0.3333,0.1667,0.3333,0.1667,40.05,9905021.425,855876.8714,176498.2761,0.845799622,0.889192651,0.905955637,0.915576424,0.923373278
