time,dt,elapsed,heat_out_cumulative,produced_T,produced_T_cumulative
0,0,0,0,28.05,0
0.0005,0.0005,26.269775822,0,150,0.22502250225022
0.001,0.0005,30.179458016,0,150,0.45004500450045
0.0015,0.0005,52.501129897,0,150,0.67506750675067
0.002,0.0005,56.494790894,0,150,0.9000900090009
0.003,0.001,61.646086995,0,150,1.3501350135013
0.004,0.001,85.994419113,0,150,1.8001800180018
0.005,0.001,90.001611637,0,150,2.2502250225022
0.007,0.002,97.546620105,0,150,3.1503150315031
0.009,0.002,123.217312752,0,150,4.050405040504
0.011,0.002,129.346255389,0,150,4.9504950495049
0.013,0.002,154.763520069,0,150,5.8505850585058
0.015,0.002,158.670681129,0,150,6.7506750675067
0.017,0.002,181.12659392,0,150,7.6507650765076
0.019,0.002,185.027414714,0,150,8.5508550855085
0.021,0.002,207.372622312,0,150,9.4509450945094
0.023,0.002,212.011755315,0,150,10.35103510351
0.027,0.004,217.777783844,0,150,12.151215121512
0.031,0.004,240.956575853,0,150,13.951395139514
0.035,0.004,246.266835774,0,150,15.751575157516
0.043,0.008,265.882609236,0,150,19.351935193519
0.048,0.005,290.929366882,0,150,21.602160216022
0.053,0.005,296.672386314,0,150,23.852385238524
0.063,0.01,312.646990798,0,150,28.352835283528
0.068,0.005,426.699599921,0,150,30.603060306031
0.073,0.005,430.617773256,0,150,32.853285328533
0.078,0.005,567.246058541,0,150,35.103510351035
0.083,0.005,571.150116385,0,150,37.353735373537
0.088,0.005,660.825600704,0,150,39.60396039604
0.093,0.005,664.02651,0,150,41.854185418542
0.103,0.01,671.7052805,0,150,46.354635463546
0.113,0.01,680.127130608,0,150,50.855085508551
0.123,0.01,685.193833315,0,150,55.355535553555
0.133,0.01,690.527368515,0,150,59.85598559856
0.143,0.01,695.149778777,0,150,64.356435643564
0.153,0.01,699.789859758,0,150,68.856885688569
0.163,0.01,704.422055103,0,150,73.357335733573
0.173,0.01,708.35054655,0,150,77.857785778578
0.183,0.01,712.230979062,0,150,82.358235823582
0.193,0.01,716.162266194,0,150,86.858685868587
0.203,0.01,720.087704368,0,150,91.359135913591
0.213,0.01,723.999684171,0,150,95.859585958596
0.223,0.01,727.931845423,0,150,100.3600360036
0.233,0.01,732.105529083,0,150,104.8604860486
0.243,0.01,735.686881182,0,150,109.36093609361
0.253,0.01,739.189684729,0,150,113.86138613861
0.263,0.01,742.405799014,0,150,118.36183618362
0.273,0.01,746.350707836,0,150,122.86228622862
0.283,0.01,749.547851152,0,150,127.36273627363
0.293,0.01,752.747007907,0,150,131.86318631863
0.303,0.01,756.71412832,0,150,136.36363636364
0.313,0.01,760.717850183,0,150,140.86408640864
