time,dt,elapsed,heat_out_cumulative,produced_T,produced_T_cumulative
0,0,0,0,28.1,0
0.001,0.001,13.134265321,0,90,0.27002700270027
0.002,0.001,36.620311316,0,90,0.54005400540054
0.003,0.001,41.284368379,0,90,0.81008100810081
0.004,0.001,61.920633843,0,90,1.0801080108011
0.005,0.001,65.909791917,0,90,1.3501350135014
0.007,0.002,71.725498362,0,90,1.8901890189019
0.009,0.002,93.756789848,0,90,2.4302430243024
0.011,0.002,97.706414233,0,90,2.970297029703
0.015,0.004,102.760922583,0,90,4.0504050405041
0.019,0.004,126.997692122,0,90,5.1305130513051
0.023,0.004,133.188939621,0,90,6.2106210621062
0.027,0.004,267.135262534,0,90,7.2907290729073
0.031,0.004,271.116826084,0,90,8.3708370837084
0.039,0.008,279.188616926,0,90,10.531053105311
0.044,0.005,301.359739635,0,90,11.881188118812
0.049,0.005,304.626154322,0,90,13.231323132313
0.059,0.01,317.789668688,0,90,15.931593159316
0.069,0.01,324.34152528,0,90,18.631863186319
0.079,0.01,330.816120002,0,90,21.332133213321
0.089,0.01,335.880931618,0,90,24.032403240324
0.099,0.01,340.903786451,0,90,26.732673267327
0.109,0.01,345.918852886,0,90,29.432943294329
0.119,0.01,349.865571005,0,90,32.133213321332
0.129,0.01,353.072777439,0,90,34.833483348335
0.139,0.01,357.464276364,0,90,37.533753375338
0.149,0.01,361.44293965,0,90,40.23402340234
0.159,0.01,365.420917357,0,90,42.934293429343
0.169,0.01,369.793638597,0,90,45.634563456346
0.179,0.01,372.980097058,0,90,48.334833483348
0.189,0.01,376.183416182,0,90,51.035103510351
0.199,0.01,379.404211594,0,90,53.735373537354
0.209,0.01,382.646020146,0,90,56.435643564356
0.219,0.01,385.88912906,0,90,59.135913591359
0.229,0.01,389.134607418,0,90,61.836183618362
0.239,0.01,393.162879445,0,90,64.536453645365
0.249,0.01,396.443831006,0,90,67.236723672367
0.259,0.01,399.690026793,0,90,69.93699369937
0.269,0.01,402.870070012,0,90,72.637263726373
0.279,0.01,406.06224321,0,90,75.337533753375
0.289,0.01,411.159016394,0,90,78.037803780378
0.299,0.01,414.437598928,0,90,80.738073807381
0.309,0.01,417.677541373,0,90,83.438343834383
0.319,0.01,420.943170559,0,90,86.138613861386
0.329,0.01,424.222724752,0,90,88.838883888389
0.3333,0.0042999999999999,427.50099271,0,90,90
0.3433,0.01,430.744985654,0,89.948231634911,92.698716820729
0.3533,0.01,433.950725258,0,89.93016893788,95.396891706354
0.3633,0.01,436.470644408,0,89.9140846442,98.094584014911
0.3733,0.01,439.031833513,0,89.898661652817,100.79181358745
0.3833,0.01,441.562051412,0,89.883580789092,103.48859068884
0.3933,0.01,444.087775549,0,89.868718839042,106.18492188713
0.4033,0.01,446.606013892,0,89.854017305994,108.88081199532
0.4133,0.01,449.121982357,0,89.839445037249,111.57626489172
0.4233,0.01,451.628531875,0,89.824984150044,114.27128391813
0.4333,0.01,453.440724841,0,89.810622708584,116.9658720582
0.4433,0.01,455.953875754,0,89.796355814355,119.66003214864
0.4533,0.01,457.746279396,0,89.78217688482,122.35376682865
0.4633,0.01,459.537508666,0,89.768083687533,125.04707867046
0.4733,0.01,461.311069007,0,89.754073822603,127.73997017429
0.4833,0.01,463.065237016,0,89.740145591407,130.43244378939
0.4933,0.01,464.853622186,0,89.726297672927,133.1245019254
0.5,0.0066999999999999,466.630580844,0,89.717055575127,134.92799509177
0.51,0.01,475.525391926,14755788383.28,89.619050958033,137.61683550456
0.52,0.01,487.308699663,29502694915.701,89.569833420257,140.30419924354
0.53,0.01,496.328454579,44241348859.786,89.52216511058,142.99013279021
0.54,0.01,506.759340167,58971947212.435,89.474908817631,145.67464850631
0.55,0.01,510.055868396,73694481466.3,89.427189147786,148.35773248914
0.56,0.01,513.384231997,88408754021.421,89.378007096831,151.03934086288
0.57,0.01,517.447467269,103114311323.07,89.325880146137,153.71938527171
0.58,0.01,520.738075651,117810322960,89.268553558243,156.3977097109
0.59,0.01,524.033123364,132495415079.54,89.202737454706,159.07405946952
0.6,0.01,527.330874477,147167450205.28,89.123787467691,161.74804049165
0.61,0.01,531.389882441,161823262369.34,89.025434494281,164.41907062949
0.62,0.01,535.390086093,176458350128.86,88.899530555534,167.08632327142
0.63,0.01,538.707750141,191066527777.79,88.735794161265,169.74866333027
0.64,0.01,541.984974026,205639578863,88.521824950596,172.40458367082
0.65,0.01,548.302574019,220166902891.76,88.243059631611,175.05214021542
0.66,0.01,554.53472408,234635182010.12,87.882890987394,177.68889062008
0.67,0.01,558.579047146,249028152746.74,87.423307215578,180.3118521327
0.68,0.01,564.945291903,263326446121.11,86.845298427443,182.91747164748
0.69,0.01,570.13189889,277507549725.46,86.129580883133,185.50161748855
0.7,0.01,574.110890703,291545935266.04,85.25759047316,188.0596010011
0.71,0.01,577.345186256,305413278441.3,84.212107397669,190.58621688462
0.72,0.01,580.589118266,319078838831.94,82.978290235047,193.07581455144
0.73,0.01,583.805162924,332510091905.64,81.54521009058,195.52241551425
0.74,0.01,587.024324754,345673709992.98,79.907770836759,197.91988838664
0.75,0.01,590.323711275,358536799609.15,78.068383962775,200.2621741341
0.76,0.01,595.510272639,371068035292.3,76.036466987267,202.54349627593
0.77,0.01,599.538812792,383238484573.4,73.826579772356,204.75851517099
0.78,0.01,606.953916743,395022476266.38,71.458468207655,206.90248361406
0.79,0.01,613.698408265,406398696337.32,68.958929235187,208.9714583886
0.8,0.01,618.517990775,417351260188.91,66.361462503439,210.962501368
0.81,0.01,622.570623939,427870273599.6,63.701682694945,212.87374297301
0.82,0.01,626.582694982,437952150213.66,61.019100899546,214.7044990756
0.83,0.01,629.890381971,447599648738.05,58.352713395817,216.45525555313
0.8333,0.0032999999999996,632.432479174,450736212200.82,57.476232538389,217.02432716242
0.833925,0.000625,702.530372233,450736212200.82,57.500510460647,217.13215140196
0.83455,0.000625,705.006112916,450736212200.82,57.502841192823,217.23998001205
0.8358,0.00125,707.466421071,450736212200.82,57.503847680427,217.45564100695
0.8383,0.0025,709.928806519,450736212200.82,57.503475569835,217.88696020565
0.8433,0.005,712.423235255,450736212200.82,57.500838540405,218.74955904364
0.8533,0.01,714.911135603,450736212200.82,57.493990085247,220.47455124542
0.8633,0.01,717.442712618,450736212200.82,57.486676911206,222.19932403003
0.8733,0.01,719.934106807,450736212200.82,57.479212200329,223.92387285092
0.8833,0.01,722.447091931,450736212200.82,57.471707279627,225.64819650168
0.8933,0.01,724.979014057,450736212200.82,57.464205666469,227.37229508153
0.9033,0.01,727.509288304,450736212200.82,57.456723953704,229.09616918755
0.9133,0.01,730.035633017,450736212200.82,57.449266993777,230.8198195624
0.9233,0.01,732.545026184,450736212200.82,57.441834343074,232.54324693543
0.9333,0.01,735.047596109,450736212200.82,57.434423181336,234.26645195137
0.9433,0.01,737.557827628,450736212200.82,57.427029762774,235.98943514257
0.9533,0.01,740.054650682,450736212200.82,57.41965009262,237.71219692153
0.9633,0.01,742.566768614,450736212200.82,57.412280386416,239.43473758719
0.9733,0.01,745.041303042,450736212200.82,57.404917191709,241.15705733492
0.9833,0.01,747.525662929,450736212200.82,57.397557435405,242.87915626787
