time,dt,elapsed,heat_out_cumulative,produced_T,produced_T_cumulative
0,0,0,0,28.6,0
0.001,0.001,13.928286504,0,200,0.6000600060006
0.003,0.002,17.725625049,0,200,1.8001800180018
0.007,0.004,20.956077139,0,200,4.2004200420042
0.015,0.008,24.226934922,0,200,9.000900090009
0.025,0.01,27.427883812,0,200,15.001500150015
0.035,0.01,30.104041459,0,200,21.002100210021
0.045,0.01,32.749173583,0,200,27.002700270027
0.055,0.01,35.390046196,0,200,33.003300330033
0.065,0.01,38.041669281,0,200,39.003900390039
0.075,0.01,40.692187239,0,200,45.004500450045
0.085,0.01,43.355912764,0,200,51.005100510051
0.095,0.01,46.007722373,0,200,57.005700570057
0.105,0.01,48.693810723,0,200,63.006300630063
0.115,0.01,51.34864014,0,200,69.006900690069
0.125,0.01,53.411166411,0,200,75.007500750075
0.135,0.01,55.480547374,0,200,81.008100810081
0.145,0.01,57.561802175,0,200,87.008700870087
0.155,0.01,59.637159712,0,200,93.009300930093
0.165,0.01,62.294063978,0,200,99.009900990099
0.175,0.01,64.385310954,0,200,105.01050105011
0.185,0.01,66.44445897,0,200,111.01110111011
0.195,0.01,69.078398113,0,200,117.01170117012
0.205,0.01,71.152369018,0,200,123.01230123012
0.215,0.01,73.212897092,0,200,129.01290129013
0.225,0.01,75.280949268,0,200,135.01350135014
0.235,0.01,77.324936929,0,200,141.01410141014
0.245,0.01,79.404265009,0,200,147.01470147015
0.255,0.01,81.454676816,0,200,153.01530153015
0.265,0.01,83.513818712,0,200,159.01590159016
0.275,0.01,85.578685083,0,200,165.01650165017
0.285,0.01,87.630680603,0,200,171.01710171017
0.295,0.01,89.66894788,0,200,177.01770177018
0.305,0.01,91.749055438,0,200,183.01830183018
0.315,0.01,93.835265924,0,200,189.01890189019
0.325,0.01,95.899686631,0,200,195.0195019502
0.3333,0.0082999999999999,97.960399886,0,200,200
0.3433,0.01,100.616491159,0,199.35964805464,205.9813875804
0.3533,0.01,103.282593096,0,198.9313051007,211.94992358702
0.3633,0.01,105.946675908,0,198.42515927351,217.90327370024
0.3733,0.01,108.596103959,0,197.82771889381,223.83869880956
0.3833,0.01,111.275646737,0,197.14180304577,229.75354438549
0.3933,0.01,113.354144604,0,196.37412898439,235.64535743633
0.4033,0.01,115.446406271,0,195.53248348796,241.51191859708
0.4133,0.01,117.541113713,0,194.62475973482,247.3512453218
0.4233,0.01,119.613004551,0,193.6585861922,253.16158394143
0.4333,0.01,121.690762072,0,192.64116524109,258.94139687995
0.4433,0.01,123.78306442,0,191.57918084588,264.68934710035
0.4533,0.01,125.84264711,0,190.47877540593,270.40428185601
0.4633,0.01,127.899418329,0,189.34558711411,276.085217563
0.4733,0.01,129.967074253,0,188.18473110237,281.73132410673
0.4833,0.01,132.037905739,0,187.00083606439,287.34191024727
0.4933,0.01,134.110693522,0,185.79812946965,292.91641158149
0.5,0.0066999999999999,136.178557709,0,184.98516157555,296.63498518652
0.51,0.01,139.43651178,23008303974.156,180.56077874654,302.05235028543
0.52,0.01,141.544395156,45453690957.922,176.32503254208,307.34263028969
0.53,0.01,143.643932838,67341241662.23,172.09982670766,312.50614144204
0.54,0.01,146.313048485,88677872861.784,167.90781938447,317.54387979741
0.55,0.01,148.387502906,109472388095.37,163.7682644888,322.457419086
0.56,0.01,150.463986216,129735485834.84,159.69685877662,327.24880398779
0.57,0.01,152.556688234,149479040738.85,155.70457445076,331.92040838175
0.58,0.01,154.648474733,168715814706.73,151.79991301831,336.47486121758
0.59,0.01,156.72259033,187459225836.61,147.98940305429,340.91498732182
0.6,0.01,158.822492756,205723028016.19,144.27742239194,345.24374286914
0.61,0.01,160.935359592,223521318282.18,140.66710265561,349.46417799232
0.62,0.01,163.182807616,240868236372.62,137.15945553114,353.57937317777
0.63,0.01,165.247393652,257777896715.72,133.75563722813,357.59244360166
0.64,0.01,167.347077749,274264305966.74,130.45558177947,361.50650246093
0.65,0.01,169.428821554,290341288001.86,127.25865071835,365.32464379661
0.66,0.01,171.511059134,306022406088.12,124.16421700682,369.04994283672
0.67,0.01,173.580713211,321321088198.8,121.17074474381,372.68542872762
0.68,0.01,175.685131635,336250424914.99,118.27600589961,376.23406376811
0.69,0.01,177.757164308,350823149152.61,115.4781537086,379.69875484848
0.7,0.01,179.826526796,365051663084.62,112.7750703958,383.0823453194
0.71,0.01,181.898101931,378948025671.25,110.16431193853,386.38760520354
0.72,0.01,184.006048885,392523911037.72,107.64400222949,389.61724823473
0.73,0.01,186.108785413,405790726813.14,105.21124468876,392.7739012407
0.74,0.01,188.188600779,418759491716.22,102.86322343967,395.86010656442
0.75,0.01,190.264079293,431440840380.5,100.5975409982,398.87833461717
0.76,0.01,192.322877644,443845045427.96,98.411683017107,401.83098037226
0.77,0.01,194.377062906,455982029993.81,96.303032199947,404.72036027625
