time,dt,elapsed,heat_out_cumulative,produced_T,produced_T_cumulative
0,0,0,0,28.4,0
0.001,0.001,3.7025228,0,150,0.0016483516483516
0.003,0.002,5.02044294,0,150,0.0049450549450549
0.007,0.004,6.291949991,0,150,0.011538461538462
0.015,0.008,7.612006159,0,150,0.024725274725275
0.031,0.016,8.920530826,0,150,0.051098901098901
0.063,0.032,10.262724197,0,150,0.10384615384615
0.127,0.064,11.9127706,0,150,0.20934065934066
0.255,0.128,13.997353491,0,150,0.42032967032967
0.511,0.256,15.697240757,0,150,0.84230769230769
1.023,0.512,18.198266054,0,150,1.6862637362637
2.023,1,20.637526319,0,150,3.3346153846154
3.023,1,22.68702634,0,150,4.982967032967
4.023,1,24.441885024,0,150,6.6313186813187
5.023,1,26.104980608,0,150,8.2796703296703
6.023,1,28.19610221,0,150,9.928021978022
7.023,1,29.86902096,0,150,11.576373626374
8.023,1,31.566555937,0,150,13.224725274725
9.023,1,33.242575925,0,150,14.873076923077
10.023,1,34.924728977,0,150,16.521428571429
11.023,1,36.633390881,0,150,18.16978021978
12.023,1,38.317315802,0,150,19.818131868132
13.023,1,40.023255437,0,150,21.466483516484
14.023,1,41.71974403,0,150,23.114835164835
15.023,1,43.447203722,0,150,24.763186813187
16.023,1,45.184547907,0,150,26.411538461538
17.023,1,46.873765603,0,150,28.05989010989
18.023,1,48.6064066,0,150,29.708241758242
19.023,1,50.312324103,0,150,31.356593406593
20.023,1,52.017502413,0,150,33.004945054945
21.023,1,53.74154732,0,150,34.653296703297
22.023,1,55.449717241,0,150,36.301648351648
23.023,1,57.146676628,0,150,37.95
24.023,1,58.840262101,0,150,39.598351648352
25.023,1,60.540743921,0,150,41.246703296703
26.023,1,62.229456414,0,150,42.895054945055
27.023,1,63.926670523,0,150,44.543406593407
28.023,1,65.644403755,0,150,46.191758241758
29.023,1,67.374267676,0,150,47.84010989011
30.023,1,69.108161796,0,150,49.488461538462
31.023,1,70.772778898,0,150,51.136813186813
32.023,1,72.508559527,0,150,52.785164835165
33.023,1,74.234945702,0,150,54.433516483517
34.023,1,75.939024041,0,150,56.081868131868
35.023,1,77.653421081,0,150,57.73021978022
36.023,1,79.384882298,0,150,59.378571428571
37.023,1,81.115858625,0,150,61.026923076923
38.023,1,82.815739787,0,150,62.675274725275
39.023,1,84.521002663,0,150,64.323626373626
40.023,1,86.243067931,0,150,65.971978021978
41.023,1,87.923876126,0,150,67.62032967033
42.023,1,89.611904227,0,150,69.268681318681
43.023,1,91.35067028,0,150,70.917032967033
44.023,1,93.063049034,0,150,72.565384615385
45.023,1,94.779923628,0,150,74.213736263736
46.023,1,96.497318661,0,150,75.862087912088
47.023,1,98.204350307,0,150,77.51043956044
48.023,1,99.928477599,0,150,79.158791208791
49.023,1,101.274214592,0,150,80.807142857143
50.023,1,102.973314751,0,150,82.455494505495
51.023,1,104.337288003,0,150,84.103846153846
52.023,1,106.022523693,0,150,85.752197802198
53.023,1,107.400183079,0,150,87.40054945055
54.023,1,109.126944283,0,150,89.048901098901
55.023,1,110.461716158,0,150,90.697252747253
56.023,1,112.169505695,0,150,92.345604395604
57.023,1,113.479658781,0,150,93.993956043956
58.023,1,115.211083864,0,150,95.642307692308
59.023,1,116.554687445,0,150,97.290659340659
60.023,1,118.257448262,0,150,98.939010989011
61.023,1,119.575659516,0,150,100.58736263736
62.023,1,121.288377835,0,150,102.23571428571
63.023,1,122.981334688,0,150,103.88406593407
