time,dt,elapsed,heat_out_cumulative,produced_T,produced_T_cumulative
0,0,0,0,40.4,0
0.001,0.001,11.640164855,0,150,0.45004500450045
0.003,0.002,16.176524783,0,150,1.3501350135013
0.007,0.004,20.084194988,0,150,3.1503150315031
0.011,0.004,42.302290179,0,150,4.9504950495049
0.015,0.004,45.635078582,0,150,6.7506750675067
0.023,0.008,48.368992102,0,150,10.35103510351
0.033,0.01,51.119977281,0,150,14.851485148515
0.043,0.01,54.381536058,0,150,19.351935193519
0.053,0.01,57.658390524,0,150,23.852385238524
0.063,0.01,60.397137777,0,150,28.352835283528
0.073,0.01,63.692953532,0,150,32.853285328533
0.083,0.01,66.455175942,0,150,37.353735373537
0.093,0.01,69.179293569,0,150,41.854185418542
0.103,0.01,71.936593729,0,150,46.354635463546
0.113,0.01,74.705597028,0,150,50.855085508551
0.123,0.01,77.423652387,0,150,55.355535553555
0.133,0.01,80.173770637,0,150,59.85598559856
0.143,0.01,82.876444738,0,150,64.356435643564
0.153,0.01,85.588421504,0,150,68.856885688569
0.163,0.01,88.340206623,0,150,73.357335733573
0.173,0.01,91.092714743,0,150,77.857785778578
0.183,0.01,93.814802478,0,150,82.358235823582
0.193,0.01,95.944668649,0,150,86.858685868587
0.203,0.01,98.668225626,0,150,91.359135913591
0.213,0.01,101.430555501,0,150,95.859585958596
0.223,0.01,103.538185125,0,150,100.3600360036
0.233,0.01,105.68694802,0,150,104.8604860486
0.243,0.01,108.451775292,0,150,109.36093609361
0.253,0.01,111.12054107,0,150,113.86138613861
0.263,0.01,113.858741899,0,150,118.36183618362
0.273,0.01,116.010678519,0,150,122.86228622862
0.283,0.01,118.129635505,0,150,127.36273627363
0.293,0.01,120.857983077,0,150,131.86318631863
0.303,0.01,123.610766472,0,150,136.36363636364
0.313,0.01,126.352268476,0,150,140.86408640864
0.323,0.01,128.480250193,0,150,145.36453645365
0.333,0.01,130.593907278,0,150,149.86498649865
0.3333,0.00029999999999986,132.719840433,0,150,150
0.3433,0.01,135.469727478,0,149.91620165817,154.49793584333
0.3533,0.01,137.57570544,0,149.89874161007,158.99534783283
0.3633,0.01,139.71530248,0,149.88697908216,163.4924069112
0.3733,0.01,141.849570295,0,149.87717393927,167.98917180587
0.3833,0.01,144.028860013,0,149.86834182381,172.48567171058
0.3933,0.01,146.206040723,0,149.86008762119,176.98192396444
0.4033,0.01,148.330757908,0,149.85221549813,181.47794003099
0.4133,0.01,150.485452532,0,149.84461550595,185.97372807497
0.4233,0.01,152.607228779,0,149.83722056789,190.46929424862
0.4333,0.01,154.736450314,0,149.82998704994,194.96464339504
0.4433,0.01,156.866480606,0,149.8228851618,199.4597794635
0.4533,0.01,159.028857771,0,149.81589364465,203.95470576547
0.4633,0.01,161.156352632,0,149.80899701992,208.449425148
0.4733,0.01,163.276635547,0,149.80218373215,212.94394011146
0.4833,0.01,165.394408115,0,149.79544496413,217.43825289167
0.4933,0.01,166.892992449,0,149.78877309246,221.9323654957
0.5,0.0066999999999999,168.396782081,0,149.78433192031,224.94333166392
0.51,0.01,178.013144301,19106367508.31,149.69939783722,229.43476274214
0.52,0.01,182.902718745,38208185736.512,149.67063992306,233.92533099666
0.53,0.01,186.614732769,57305733332.339,149.64093008691,238.41500786695
0.54,0.01,188.754461279,76398235494.403,149.60409045866,242.90357943787
0.55,0.01,191.499335158,95484034050.556,149.55378192968,247.39064160198
0.56,0.01,194.220979945,114560307675.39,149.48116246862,251.87552496437
0.57,0.01,196.961895329,133622719443.91,149.3745386276,256.35720929163
0.58,0.01,199.115233189,152665137393.8,149.21998737261,260.83425661754
0.59,0.01,201.224574452,171679330366.29,149.00118201736,265.30473912631
0.6,0.01,203.304761541,190654737598.68,148.69997688846,269.76618457751
0.61,0.01,205.420612785,209578311130.22,148.29697375446,274.21553872556
0.62,0.01,208.106958998,228434362562.97,147.77154774587,278.64912851692
0.63,0.01,210.221836761,247204585546.52,147.10321160223,283.06266621875
0.64,0.01,212.933592767,265868105667.41,146.27183984802,287.4512602736
0.65,0.01,215.682287003,284401642144.62,145.25855936558,291.80945287383
0.66,0.01,218.452013682,302779741515.42,144.04622377504,296.13127176897
0.67,0.01,220.582548192,320975070205.37,142.61957387267,300.41028688666
0.68,0.01,222.695948317,338958721517.61,140.96545707217,304.63967353749
0.69,0.01,225.433217278,356700557943.62,139.07391433075,308.81230823088
0.7,0.01,228.18643014,374169652103.92,136.93846642052,312.92087307998
0.71,0.01,230.286846514,391334755344.64,134.55570381799,316.957947902
0.72,0.01,232.399665663,408164867130.05,131.9269171375,320.91615123646
0.73,0.01,234.493240272,424630006159.35,129.05957229897,324.78832562287
0.74,0.01,239.123832296,440701714573.73,125.96449566949,328.56763842423
0.75,0.01,241.201009129,456353808351.72,122.66020676184,332.24781264451
0.76,0.01,243.377336476,471562931586.58,119.16635316933,335.8231607744
0.77,0.01,246.126508583,486308999335.61,115.50924397319,339.28878465599
0.78,0.01,248.883621816,500575928458.32,111.71998281563,342.64071933393
0.79,0.01,252.257310275,514352201000.24,107.83526814893,345.87610091655
0.8,0.01,254.387165071,527631485254.5,103.89540315362,348.99327472854
0.81,0.01,256.519678368,540412905837.48,99.943506945643,351.99187979742
0.82,0.01,258.681775108,552700970205.84,96.023098328054,354.87286084536
0.83,0.01,260.831805702,564505308160.97,92.175231750451,357.63839435123
0.8333,0.0032999999999996,263.011071383,568348511115.8,90.915436356968,358.53854718645
0.8383,0.005,282.046532495,568348511115.8,90.95190045243,359.90296213473
0.8433,0.005,284.200322717,568348511115.8,90.938127419257,361.26717046685
0.8533,0.01,286.369360831,568348511115.8,90.901414202305,363.99448562443
0.8633,0.01,288.492251604,568348511115.8,90.862096548241,366.72062113443
0.8733,0.01,290.607694289,568348511115.8,90.821557684049,369.44554035688
0.8833,0.01,292.770666704,568348511115.8,90.780312096452,372.16922208794
0.8933,0.01,294.872464326,568348511115.8,90.738615614613,374.89165279945
0.9033,0.01,297.065292032,568348511115.8,90.696619063507,377.61282348843
0.9133,0.01,299.185878173,568348511115.8,90.654421338674,380.33272811905
0.9233,0.01,301.335218417,568348511115.8,90.61209182996,383.05136273741
0.9333,0.01,303.485478,568348511115.8,90.569681377093,385.76872491494
0.9433,0.01,305.602870881,568348511115.8,90.527228258132,388.48481337153
0.9533,0.01,307.715671797,568348511115.8,90.484761773165,391.19962770616
0.9633,0.01,309.842796519,568348511115.8,90.442304571681,393.91316819736
0.9733,0.01,312.002573326,568348511115.8,90.399874208005,396.62543565034
