time,dt,elapsed,heat_out_cumulative,produced_T,produced_T_cumulative
0,0,0,0,28.1,0
0.001,0.001,10.065135276,0,150,0.45004500450045
0.003,0.002,15.637057456,0,150,1.3501350135013
0.007,0.004,20.535448552,0,150,3.1503150315031
0.015,0.008,26.06934569,0,150,6.7506750675067
0.025,0.01,30.29131943,0,150,11.251125112511
0.035,0.01,34.532567818,0,150,15.751575157516
0.045,0.01,37.504010327,0,150,20.25202520252
0.055,0.01,40.382380513,0,150,24.752475247525
0.065,0.01,43.290180792,0,150,29.252925292529
0.075,0.01,46.23629424,0,150,33.753375337534
0.085,0.01,49.15268385,0,150,38.253825382538
0.095,0.01,52.049499912,0,150,42.754275427543
0.105,0.01,54.97521556,0,150,47.254725472547
0.115,0.01,57.848029193,0,150,51.755175517552
0.125,0.01,60.844117524,0,150,56.255625562556
0.135,0.01,63.738605245,0,150,60.756075607561
0.145,0.01,66.63285345,0,150,65.256525652565
0.155,0.01,69.535683685,0,150,69.75697569757
0.165,0.01,72.415435407,0,150,74.257425742574
0.175,0.01,75.399536795,0,150,78.757875787579
0.185,0.01,78.326989184,0,150,83.258325832583
0.195,0.01,81.238150617,0,150,87.758775877588
0.205,0.01,84.174916044,0,150,92.259225922592
0.215,0.01,87.087492676,0,150,96.759675967597
0.225,0.01,89.321553675,0,150,101.2601260126
0.235,0.01,92.208234784,0,150,105.76057605761
0.245,0.01,95.079251176,0,150,110.26102610261
0.255,0.01,97.336423573,0,150,114.76147614761
0.265,0.01,99.591625661,0,150,119.26192619262
0.275,0.01,102.483796478,0,150,123.76237623762
0.285,0.01,104.755532836,0,150,128.26282628263
0.295,0.01,107.685594793,0,150,132.76327632763
0.305,0.01,109.943743153,0,150,137.26372637264
0.315,0.01,112.200815909,0,150,141.76417641764
0.325,0.01,114.467425293,0,150,146.26462646265
0.3333,0.0082999999999999,116.752007761,0,150,150
0.3433,0.01,119.679839089,0,149.91890046932,154.49801681576
0.3533,0.01,121.900350519,0,149.86674999503,158.99446896083
0.3633,0.01,124.165771173,0,149.81341352006,163.48932085162
0.3733,0.01,126.457851854,0,149.75772038893,167.98250178138
0.3833,0.01,128.756998235,0,149.69923344469,172.47392792733
0.3933,0.01,131.021664662,0,149.6375435222,176.96350319053
0.4033,0.01,133.304173607,0,149.57220262433,181.45111803074
0.4133,0.01,135.625742105,0,149.5027291468,185.93664845819
0.4233,0.01,137.876404967,0,149.42862568169,190.41995555935
0.4333,0.01,140.126343458,0,149.34939577843,194.9008855257
0.4433,0.01,142.390645704,0,149.26455847856,199.37927011851
0.4533,0.01,144.659933594,0,149.17365998336,203.85492748375
0.4633,0.01,146.936190922,0,149.07628024391,208.32766316464
0.4733,0.01,149.214851293,0,148.9720438305,212.79727144038
0.4833,0.01,151.519638894,0,148.86061834248,217.26353661717
0.4933,0.01,153.834685109,0,148.74171741424,221.72623440938
0.5,0.0066999999999999,156.130747395,0,148.65862347018,224.71457157484
0.51,0.01,160.353504166,18748756497.933,147.78574277885,229.14858725978
0.52,0.01,162.612809531,37359532588.808,146.71716712431,233.55054246903
0.53,0.01,164.918290661,55803811933.17,145.42495918663,237.91372756314
0.54,0.01,167.874623186,74053948368.525,143.91648905415,242.23165402741
0.55,0.01,170.827714573,92084037683.221,142.20505955902,246.49823247202
0.56,0.01,173.818937179,109870320225.23,140.30659162427,250.70785118262
0.57,0.01,176.772088873,127391370134.68,138.23876980331,254.85542903451
0.58,0.01,179.747359947,144628296997.61,136.02131378559,258.93647655283
0.59,0.01,182.013723786,161564979032.05,133.67537185371,262.94713877466
0.6,0.01,184.298862643,178187924267.07,131.22115794595,266.88416721588
0.61,0.01,187.215184657,194486156880.33,128.67832739825,270.74490311142
0.62,0.01,190.13492673,210451151356.33,126.0656782553,274.52725169394
0.63,0.01,193.036827378,226076671331.42,123.40132636377,278.22966172585
0.64,0.01,196.016884628,241358653814.36,120.70234035557,281.85109407976
0.65,0.01,199.022622495,256294891715.89,117.98265083597,285.39092758819
0.66,0.01,202.037573313,270884819004.94,115.25559991815,288.84894138711
0.67,0.01,204.349805925,285129367459.28,112.53315296251,292.22527360921
0.68,0.01,206.687923277,299030798585.54,109.82597626439,295.52038240802
0.69,0.01,209.671175666,312592537331.13,107.14353502501,298.73500992152
0.7,0.01,211.957203791,325819053972.88,104.49423790984,301.87015057288
0.71,0.01,214.212650235,338715687338.55,101.88454518524,304.92699261264
0.72,0.01,216.510706685,351288460019.87,99.320542103152,307.90690686716
0.73,0.01,219.524462576,363544032683.92,96.807482444284,310.81142179198
0.74,0.01,221.849276851,375489583102.03,94.349570256669,313.6421919767
0.75,0.01,224.159787238,387132696974.83,91.950197830358,316.40097378979
0.76,0.01,226.461774604,398481254980.61,89.611995459753,319.08960251646
0.77,0.01,228.741784232,409543376248.29,87.337324743715,321.70998429695
0.78,0.01,231.06483161,420327401855.4,85.127706219604,324.2640708922
