pressure, temperature, density, viscosity, enthalpy, internal_energy
100000,275,999.938,0.00168194,7859.83,7759.82
100000,278.283,999.964,0.00151184,21676.6,21576.6
100000,281.566,999.823,0.00136773,35468.4,35368.4
100000,284.848,999.532,0.00124447,49241.2,49141.2
100000,288.131,999.103,0.00113813,62999.5,62899.4
100000,291.414,998.547,0.00104569,76746.5,76646.3
100000,294.697,997.874,0.00096477,90484.8,90384.5
100000,297.98,997.091,0.000893485,104216,104116
100000,301.263,996.205,0.000830332,117943,117842
100000,304.545,995.222,0.000774092,131665,131565
100000,307.828,994.148,0.000723771,145385,145285
100000,311.111,992.987,0.000678552,159103,159003
100000,314.394,991.743,0.000637754,172821,172720
100000,317.677,990.42,0.00060081,186539,186438
100000,320.96,989.021,0.000567243,200257,200156
100000,324.242,987.549,0.000536648,213978,213877
100000,327.525,986.008,0.000508681,227701,227599
100000,330.808,984.398,0.000483047,241427,241325
100000,334.091,982.723,0.00045949,255157,255056
100000,337.374,980.985,0.000437792,268893,268791
100000,340.657,979.186,0.000417761,282633,282531
100000,343.939,977.326,0.000399229,296380,296278
100000,347.222,975.408,0.000382051,310135,310032
100000,350.505,973.434,0.000366098,323897,323794
100000,353.788,971.404,0.000351256,337667,337564
100000,357.071,969.319,0.000337424,351447,351343
100000,360.354,967.181,0.000324513,365236,365133
100000,363.636,964.99,0.000312442,379037,378933
100000,366.919,962.748,0.000301141,392849,392745
100000,370.202,960.455,0.000290546,406673,406569
100000,373.485,960.455,0.000290546,406673,406569
100000,376.768,960.455,0.000290546,406673,406569
100000,380.051,960.455,0.000290546,406673,406569
100000,383.333,960.455,0.000290546,406673,406569
100000,386.616,960.455,0.000290546,406673,406569
100000,389.899,960.455,0.000290546,406673,406569
100000,393.182,960.455,0.000290546,406673,406569
100000,396.465,960.455,0.000290546,406673,406569
100000,399.747,960.455,0.000290546,406673,406569
100000,403.03,960.455,0.000290546,406673,406569
100000,406.313,960.455,0.000290546,406673,406569
100000,409.596,960.455,0.000290546,406673,406569
100000,412.879,960.455,0.000290546,406673,406569
100000,416.162,960.455,0.000290546,406673,406569
100000,419.444,960.455,0.000290546,406673,406569
100000,422.727,960.455,0.000290546,406673,406569
100000,426.01,960.455,0.000290546,406673,406569
100000,429.293,960.455,0.000290546,406673,406569
100000,432.576,960.455,0.000290546,406673,406569
100000,435.859,960.455,0.000290546,406673,406569
100000,439.141,960.455,0.000290546,406673,406569
100000,442.424,960.455,0.000290546,406673,406569
100000,445.707,960.455,0.000290546,406673,406569
100000,448.99,960.455,0.000290546,406673,406569
100000,452.273,960.455,0.000290546,406673,406569
100000,455.556,960.455,0.000290546,406673,406569
