pressure,  temperature,  density,  viscosity,  enthalpy,  internal_energy
100000, 275, 1.0012E+03, 1.0050E-03, 7.8366E+03, 7.7367E+03
100000, 277.778, 1.0007E+03, 1.0050E-03, 1.9454E+04, 1.9354E+04
100000, 280.556, 1.0002E+03, 1.0050E-03, 3.1072E+04, 3.0972E+04
100000, 283.333, 9.9966E+02, 1.0050E-03, 4.2685E+04, 4.2585E+04
100000, 286.111, 9.9914E+02, 1.0050E-03, 5.4303E+04, 5.4203E+04
100000, 288.889, 9.9863E+02, 1.0050E-03, 6.5921E+04, 6.5820E+04
100000, 291.667, 9.9811E+02, 1.0050E-03, 7.7538E+04, 7.7438E+04
100000, 294.444, 9.9759E+02, 9.8516E-04, 8.9007E+04, 8.8907E+04
100000, 297.222, 9.9707E+02, 9.4256E-04, 1.0026E+05, 1.0016E+05
100000, 300, 9.9631E+02, 8.9997E-04, 1.1142E+05, 1.1132E+05
100000, 302.778, 9.9538E+02, 8.5737E-04, 1.2251E+05, 1.2241E+05
100000, 305.556, 9.9442E+02, 8.1477E-04, 1.3352E+05, 1.3342E+05
100000, 308.333, 9.9342E+02, 7.7219E-04, 1.4444E+05, 1.4434E+05
100000, 311.111, 9.9238E+02, 7.2960E-04, 1.5528E+05, 1.5518E+05
100000, 313.889, 9.9129E+02, 6.8700E-04, 1.6605E+05, 1.6595E+05
100000, 316.667, 9.9017E+02, 6.4441E-04, 1.7673E+05, 1.7663E+05
100000, 319.444, 9.8901E+02, 6.0183E-04, 1.8733E+05, 1.8723E+05
100000, 322.222, 9.8781E+02, 5.5923E-04, 1.9785E+05, 1.9775E+05
100000, 325, 9.8658E+02, 5.3520E-04, 2.0829E+05, 2.0819E+05
100000, 327.778, 9.8530E+02, 5.2047E-04, 2.1865E+05, 2.1855E+05
100000, 330.556, 9.8398E+02, 5.0575E-04, 2.2893E+05, 2.2883E+05
100000, 333.333, 9.8262E+02, 4.9103E-04, 2.3912E+05, 2.3902E+05
100000, 336.111, 9.8123E+02, 4.7631E-04, 2.4924E+05, 2.4914E+05
100000, 338.889, 9.7979E+02, 4.6158E-04, 2.5928E+05, 2.5918E+05
100000, 341.667, 9.7831E+02, 4.4686E-04, 2.6923E+05, 2.6913E+05
100000, 344.444, 9.7680E+02, 4.3214E-04, 2.7910E+05, 2.7900E+05
100000, 347.222, 9.7525E+02, 4.1742E-04, 2.8890E+05, 2.8880E+05
100000, 350, 9.7365E+02, 4.0270E-04, 2.9867E+05, 2.9857E+05
100000, 352.778, 9.7202E+02, 3.8797E-04, 3.0839E+05, 3.0829E+05
100000, 355.556, 9.7035E+02, 3.7325E-04, 3.1804E+05, 3.1794E+05
100000, 358.333, 9.6864E+02, 3.5853E-04, 3.2761E+05, 3.2750E+05
100000, 361.111, 9.6689E+02, 3.4381E-04, 3.3711E+05, 3.3700E+05
100000, 363.889, 9.6510E+02, 3.2908E-04, 3.4653E+05, 3.4643E+05
100000, 366.667, 9.6327E+02, 3.1436E-04, 3.5588E+05, 3.5577E+05
100000, 369.444, 9.6140E+02, 2.9964E-04, 3.6515E+05, 3.6504E+05
100000, 372.222, 9.5949E+02, 2.8492E-04, 3.7435E+05, 3.7424E+05
100000, 375, 9.5754E+02, 2.7637E-04, 3.8347E+05, 3.8337E+05
100000, 377.778, 9.5555E+02, 2.7093E-04, 3.9252E+05, 3.9242E+05
100000, 380.556, 9.5353E+02, 2.6548E-04, 4.0150E+05, 4.0139E+05
100000, 383.333, 9.5146E+02, 2.6004E-04, 4.1040E+05, 4.1029E+05
100000, 386.111, 9.4936E+02, 2.5460E-04, 4.1922E+05, 4.1912E+05
100000, 388.889, 9.4721E+02, 2.4915E-04, 4.2797E+05, 4.2787E+05
100000, 391.667, 9.4503E+02, 2.4371E-04, 4.3665E+05, 4.3654E+05
100000, 394.444, 9.4281E+02, 2.3826E-04, 4.4525E+05, 4.4514E+05
100000, 397.222, 9.4054E+02, 2.3282E-04, 4.5377E+05, 4.5367E+05
100000, 400, 9.3824E+02, 2.2737E-04, 4.6239E+05, 4.6228E+05
100000, 402.778, 9.3590E+02, 2.2193E-04, 4.7102E+05, 4.7091E+05
